Name,category,country,num_episodes,aired,orginal_network,duration,watchers,director,screenwriter,rating,num_raters,cast_names,genre_names,tag_names,synopsis,url
Tunnel,Drama,South Korea,16,2017,OCN,60 min.,"32,651","Nam Ki Hoon,  Shin Yong Hwi",Lee Eun Mi,8.7,"14,787","Choi Jin Hyuk,Yoon Hyun Min,Lee Yoo Young,Jo Hee Bong,Kim Byung Chul,Kang Ki Young","Thriller,Mystery,Sci-Fi,Fantasy "," Time Travel,Murder,Criminal Profiler,Serial Killer,Bromance,Hardworking Male Lead,Hidden Identity,Strong Female Lead,Character Development,Slight Romance  ","In 1986, Park Gwang Ho works as an excellent and enthusiastic detective. His life changes when he혪s pursuing leads in a serial homicide case and then passes through a time portal, which transports him to present day Seoul.  He meets a new partner Kim Sun Jae, an elite detective who happens to be a bit eccentric, but is one highly skilled investigator. The detective duo will also find help in psychology professor, Shin Jae Yi.",https://i.mydramalist.com/JkryYc.jpg?v=1
Twenty-Five Twenty-One,Drama,South Korea,16,2022,Netflix tvN,1 hr. 13 min.,"16,043",Jung Ji Hyun,Kwon Do Eun,8.8,"2,119","Kim Tae Ri,Nam Joo Hyuk,Bona,Choi Hyun Wook,Lee Joo Myung,Seo Jae Hee","Romance,Life,Youth,Drama "," Athlete,Fencing,1990s,Coming Of Age,Bold Female Lead,IMF Crisis,Nice Male Lead,Friends To Lovers,Bankruptcy,High School To Working Life  ","The story is set in 1998 and tells the stories of youth who find new direction and growth after having their dreams taken away. Two people first meet when they are 22 and 18 years old and fall in love years later when they turn 25 and 21.

Na Hee Do is a member of her high school fencing team. Due to the South Korean financial crisis, the high school fencing team gets disbanded. Getting through all the difficulties, she becomes a member of the national fencing team.
The South Korean financial crisis also causes Baek Yi Jin혪s father's business to go bankrupt. This leads to a life change for Baek Yi Jin, from living the life of a wealthy person to a poor person. While studying, he works part-time jobs like delivering newspapers. Later, he becomes a sports reporter for a broadcasting network.",https://i.mydramalist.com/ROOPo_4c.jpg?v=1
Dr. Romantic 2,Drama,South Korea,16,2020,SBS,1 hr. 10 min.,"31,855","Yoo In Shik,  Lee Gil Bok",Kang Eun Kyung,8.7,"15,880","Han Seok Kyu,Ahn Hyo Seop,Lee Sung Kyung,Kim Joo Heon,Shin Dong Wook,So Ju Yeon","Romance,Drama,Medical,Melodrama "," Hospital,Smart Male Lead,Character Development,Bickering Couple,Love/Hate Relationship,Smart Female Lead,Hardworking Female Lead,Healing,Nervous Female Lead,Slow Burn Romance  ","A 혫real doctor혬 story set in a small, humble hospital called Doldam Hospital. It is a story about people who meet Kim Sa Bu, a genius doctor, and discover 혫real romance.혬

Kim Sa Bu once gained fame as a top surgeon at a huge hospital. One day, he disappeared from the eyes of the public, quietly becoming the chief surgeon at Doldam Hospital in the countryside. After he conducted a successful operation on Chairman Shin, he gets to improve the hospital under reliable support. But then Chairman Shin passes away, and an old foe returns. New people appear and his students had to leave the hospital. Furthermore, his wrist, which was injured three years ago, starts to act weird. Kim Sa Bu decides to go to a huge hospital himself to solve the manpower shortage at Doldam, where he finds two people who resemble his former students but who seem much more lacking. Seo Woo Jin would do anything for money, and Cha Eun Jae gets nauseous every time she tries to perform surgery. Will Kim Sa Bu be able to run Doldam Hospital with these two?",https://i.mydramalist.com/Rr7DEc.jpg?v=1
Move to Heaven,Drama,South Korea,10,2021,Netflix,52 min.,"40,962",Kim Sung Ho,Yoon Ji Ryun,9.2,"20,399","Lee Je Hoon,Tang Jun Sang,Hong Seung Hee,Jung Suk Yong,Jung Young Joo,Lee Moon Shik","Life,Drama,Family "," Autism,Uncle-Nephew Relationship,Death,Savant Syndrome,Mourning,Tearjerker,Father-Son Relationship,Life Lesson,Ex-convict,Cleaning And Organizing  ","Geu Roo is a young autistic man. He works for his father혪s business 혫Move To Heaven.혬 Their job is to arrange items left by deceased people. One day, Geu Roo's own father dies. Geu Roo is left alone, but his uncle Sang Koo suddenly appears in front of him. Sang Koo is a cold man. He was a martial artist who fought in underground matches. He went to prison because of what happened at his fight. Sang Koo now becomes Geu Roo혪s guardian. They run 혫Move To Heaven혬 together.",https://i.mydramalist.com/Rle36_4c.jpg?v=1
Crash Landing on You,Drama,South Korea,16,2020,Netflix tvN,1 hr. 25 min.,"1,10,352",Lee Jeong Hyo,Park Ji Eun,9,"62,174","Hyun Bin,Son Ye Jin,Seo Ji Hye,Kim Jung Hyun,Yang Kyung Won,Lee Shin Young","Military,Comedy,Romance,Political "," North And South Korea,Star Crossed Lovers,Strong Male Lead,Army Officer,Rich Female Lead,North Korean,Soldier,Fate,Nice Male Lead,Friendship  ","After getting into a paragliding accident, South Korean heiress Yoon Se Ri crash lands in North Korea. There, she meets North Korean army officer Ri Jung Hyuk, who agrees to help her return to South Korea. Despite the tension between their countries, the two of them start falling for one another.",https://i.mydramalist.com/XrN2dc.jpg?v=1
The King혪s Avatar,Drama,China,40,2019,Tencent Video,45 min.,"24,236","Shiyiyue,  Zhang Xiao An","Qiao Bing Qing,  Zhou Miao,  Li Zhen",8.6,"8,734","Yang Yang,Jiang Shu Ying,Lai Yu Meng,Daisy Li,Leon Lai,Fan Jin Wei","Action,Friendship,Youth,Sports "," Online Gaming,Strong Friendship,Smart Male Lead,Game,Competition,Gamer,Sismance,Hardworking Female Lead,Tournament,Bromance  ","In the multiplayer online game Glory, Ye Xiu is well known as the textbook level expert and top-tier player Ye Qiu. Due to a series of circumstances he was forcefully expelled out of his professional team. After leaving the pro-gaming scene he resides at an Internet Caf챕 employed as one of the managers. When Glory launches their tenth server he throws himself into the game once more. Equipped with ten years of gaming experience, memories of the past, and an incomplete self-made weapon. His journey back to the top begins.",https://i.mydramalist.com/2O0xEc.jpg?v=1
Unnatural,Drama,Japan,10,2018,TBS,45 min.,"6,699","Tsukahara Ayuko,  Takemura Kentaro,  Murao Yoshiaki",Nogi Akiko,8.6,"2,549","Ishihara Satomi,Iura Arata,Kubota Masataka,Ichikawa Mikako,Matsushige Yutaka,Yakushimaru Hiroko","Mystery,Medical "," Forensic,Smart Female Lead,Death,Strong Female Lead,Murder,Hardworking Female Lead,Police Procedural,Poison,Teamwork,Accident  ","Unnatural is a case-of-the-week medical mystery show; its main theme is the change of reality brought upon by imminent death of a loved one. Mystery and exhilarating human drama unfold against the backdrop of the 혫unnatural death institute혬, or 혫UDI혬. For example, the body of a young man is brought into the UDI lab one day; cause of his death is attributed to ischemic heart disease. But the victim혪s parents are puzzled by the freak nature of their son혪s death and turn to medical coroner Mikoto, to find the real reason. Together with her lab technician partner, Yuko Shoji, and rookie medical recorder, Rokuro, they examine the body for a possible drug poisoning and then learn that female colleague of the deceased man has just died suddenly.",https://i.mydramalist.com/jYgxb_4c.jpg?v=1
Rebel: Thief Who Stole the People,Drama,South Korea,30,2017,MBC,60 min.,"14,364",Kim Jin Man,Hwang Jin Young,8.5,"4,600","Yoon Kyun Sang,Chae Soo Bin,Kim Ji Suk,Lee Ha Nee,Kim Sang Joong,Shim Hee Sub","Action,Thriller,Historical,Romance "," Rebellion,Joseon Dynasty,Strong Male Lead,Smart Male Lead,Corruption,Slave,Discrimination,Bromance,Superhuman Strength,Revenge  ","혫The culprit who is posing as a royal official is not stealing wealth. He is stealing the hearts and minds of your people, Your Majesty.혬 There was a divisive figure in the Joseon Dynasty who was a hero to the people but an enemy to the establishment. His name was Hong Gil Dong. King Yeonsangun had royal lineage but was reviled by his people while Hong Gil Dong was born as a slave but succeeded in winning over the hearts of the commoners. The struggle between these two men demonstrate the qualities that a true leader needs. This TV series portrays the life of Hong Gil Dong who survived in a hostile and tyrannical kingdom as he waged a fight against the powerful elites.",https://i.mydramalist.com/Red2Vc.jpg?v=1
You Are My Hero,Drama,China,40,2021,iQiyi Tencent Video Youku,45 min.,"17,259",Zhang Tong,Qin Wen,8.7,"8,207","Ma Si Chun,Bai Jing Ting,Chen Hao,Jiang Pei Yao,Wang Yang,Zhang Yao","Military,Romance,Drama,Medical "," Adapted From A Novel,Male Chases Female First,Nice Male Lead,Military Police,Multiple Couples,Nice Female Lead,Love At First Sight,Earthquake,First Love,Healthy Mains혪 Relationship  ","Freshly graduated doctor Mi Ka was at a jewellery store to purchase a gift for her parents when a jewel heist by armed robbers occurred. A special SWAT team was deployed to take control of the situation and this was how Mi Ka met Special Forces Captain Xing Ke Lei when he helped diffuse an explosive situation. However, because Xing Ke Lei was in full combat uniform and had his face masked, she did not know what he looked like. 

A few years later, when finalising her qualifications to be a full medical surgeon, Mi Ka decides to participate in a joint emergency rescue training exercise between her hospital & the police SWAT team and she unknowingly meets Captain Xing Ke Lei again. A relationship between them begins and eventually develops as they grow to learn more about each other and as they encounter various military and medical situations in future.",https://i.mydramalist.com/RpDez_4c.jpg?v=1
Love and Redemption,Drama,China,59,2020,Mango TV Tencent Video Youku,45 min.,"15,966","Yin Tao,  Mai Guan Zhi",Liu Fang,8.8,"7,207","Cheng Yi,Crystal Yuan,Liu Xue Yi,Zhang Yu Xi,Bai Shu,Hou Meng Yao","Historical,Romance,Wuxia,Fantasy "," Reincarnation,Deity,Female Warrior,Hidden Identity,Xianxia,Steamy Kiss,First Love,Nice Male Lead,Fated Love,Adapted From A Novel  ","A thousand years since the battle between the demons and heavens took place, the souls of the Star of Mosha and the God of War are sent to the mortal realm to serve penance. 

In the mortal realm, Chu Xuan Ji, daughter of the Shaoyang Sect Leader, is deprived of her six senses. At a tournament, she meets Yu Si Feng, a skilled disciple of Lize Palace who was born on the same day as her, and the two develop a friendship. Promising to meet again, Si Feng returns to his sect where he is punished for breaking the rules and forced to wear a mask that could potentially harm his life, while Xuan Ji leaves her home to train in martial arts.

Four years later, their destinies intertwine anew. While traveling together, recovered memories from their past lives surface, revealing secrets and conspiracies involving themselves and the three realms; demon, heavenly, and mortal. These revelations have a profound impact on their relationship, creating an imbalance in all three realms.",https://i.mydramalist.com/BoB65_4c.jpg?v=1
Hospital Playlist,Drama,South Korea,12,2020,Netflix tvN,1 hr. 30 min.,"63,124",Shin Won Ho,Lee Woo Jung,9.1,"28,729","Jo Jung Suk,Yoo Yeon Seok,Jung Kyung Ho,Kim Dae Myung,Jeon Mi Do,Shin Hyun Bin","Friendship,Romance,Life,Medical "," Strong Friendship,Multiple Mains,Best Friends,Hospital,Slow Romance,Multiple Couples,Strong Female Lead,Slight Romance,Nice Male Lead,Bromance  ","The stories of people going through their days that are seemingly ordinary but actually special, at the hospital, a place known as the microcosm of life, where someone is being born and someone's life meets their ending. The five doctors are long-time friends of 20 years who started their undergrad in 1999 in the same medical school and now are colleagues in the same hospital and have a band together.",https://i.mydramalist.com/RXXL6_4c.jpg?v=1
Happiness,Drama,South Korea,12,2021,tvN,1 hr. 5 min.,"32,668",Ahn Gil Ho,Han Sang Woon,8.9,"16,471","Han Hyo Joo,Park Hyung Sik,Jo  Woo Jin,Lee Joon Hyuk,Park Joo Hee,Baek Hyun Jin","Action,Thriller,Drama,Fantasy "," Disease,Strong Female Lead,Virus,Survival,Fake Marriage,Smart Male Lead,Discrimination,Slow Burn Romance,Infectious Disease,Illness  ","Yoon Sae Bom is a special agent with quick wits and reflexes and another special quality. She earns the opportunity to move into a new apartment set aside for civil servants in a coveted apartment complex by pretending to marry high school friend Jung Yi Hyun. Yi Hyun is a detective investigating the spread of a mysterious disease. They are trapped in their apartment building when Han Tae Seok, head of the task force to control the spread of the disease, orders the complex to be sealed off from the rest of the city.  

Quarantine and disease reveal a social caste system, bringing out the best and worst of the apartment residents.",https://i.mydramalist.com/BWXjV_4c.jpg?v=1
Not Me,Drama,Thailand,14,2022,GMM 25,45 min.,"16,719",Nuchy Anucha Boonyawatana,"Noolek Sureechay Kaewses,  M Rittikrai Kanjanawiphu",8.7,"3,313","Gun Atthaphan Phunsawat,Off Jumpol Adulkittiporn,Mond Tanutchai Wijitvongtong,First Kanaphan Puitrakul,Papang Phromphiriya Thongputtaruk,Fluke Gawin Caskey","Action,Thriller,Mystery,Romance "," Hidden Identity,Suspense,Political,Identical Twins,LGBTQ+,Investigation,Coma,Motorcycle Gang,Violence,Gay Romance  ","Black and White are twins with a powerful connection. After their parents' separation, though, White혪s father took him out of the country, their family effectively severed in two. It isn혪t until fifteen years have passed that White혰now grown혰returns to Thailand.

One day, seemingly from nowhere, White feels an agony like death. He recovers in the hospital, but they혪re unable to determine the cause. Then he picks up a call from a childhood friend, Todd. Todd tells him that Black is in a coma following a vicious attack and he learns that Black is in a motorcycle gang. Unable to endure the harm done to his brother in silence, and suspecting it was one of Black혪s close friends혰Sean, Gram, or Yok혰who betrayed him, White disguises himself as Black to root out the traitor.

But White doesn혪t know his brother as well as he thought; he혪s not behaving like the Black Sean knows, distrustful and uncaring about the feelings of others. Sean's suspicious. The difference gets under Sean's skin and makes him feel things he shouldn혪t.",https://i.mydramalist.com/0kjbY_4c.jpg?v=1
The Bad Kids,Drama,China,12,2020,iQiyi,50 min.,"4,632",Bob Xin,"Joker Sun,  Pan Yi Ran",8.6,"1,381","Qin Hao,Rong Zi Shan,Shi Peng Yuan,Wang Sheng Di,Wang Jing Chun,Zhang Song Wen","Adventure,Thriller,Mystery "," Adapted From A Novel,Web Series,Investigation,Suspense,Death,Murder,Student,Child Female Lead,Symbolism,Juvenile Delinquency  ","A story that follows three children from a coastal town who unintentionally film a murder scene. As the kids become involved with the suspect, it opens up a case that is far more complicated than it looks and entraps several families into an unpredictable outcome.",https://i.mydramalist.com/WADx5_4c.jpg?v=1
"Kill Me, Heal Me",Drama,South Korea,20,2015,MBC,1 hr. 2 min.,"87,612","Kim Jin Man,  Kim Dae Jin",Jin Soo Wan,8.7,"40,916","Ji Sung,Hwang Jung Eum,Park Seo Joon,Kim Yoo Ri,Oh Min Suk,Kim Young Ae","Psychological,Comedy,Romance,Drama "," Dissociative Identity Disorder,Trauma,Boss-Employee Relationship,Rich Male Lead,Mental Health,PTSD,Psychiatry,Nice Male Lead,Mean Male Lead,Rich Man/Poor Woman  ","A traumatic childhood experience leaves Cha Do Hyeon, suffering from memory loss and dissociation. The latter has resulted in the creation of seven distinct personalities. Wanting to regain control over his life, he asks Oh Ri Jin, a first-year psychiatric resident, to help him, but she eventually falls in love with one of his personalities. Ri Jin혪s twin brother, Oh Ri On, a famous mystery novelist, investigates Do Hyeon and his family.",https://i.mydramalist.com/p2j0nc.jpg?v=1
Hanzawa Naoki,Drama,Japan,10,2013,TBS,54 min.,"6,691","Fukuzawa Katsuo,  Tanaka Kenta",Yatsu Hiroyuki,8.6,"2,323","Sakai Masato,Ueto Aya,Oikawa Mitsuhiro,Takito Kenichi,Kagawa Teruyuki ,Kitaoji Kinya","Thriller,Business,Drama "," Bank,Adapted From A Novel,Betrayal,Office Worker,Corruption,Revenge,Friendship,Suspense,Workplace Abuse,Workplace  ","An idealistic banker takes on corruption and wrongdoing at his large corporate bank. While forging ties with some unlikely allies, he must use his financial expertise, his instincts about human nature, and his skills of improvisation to try to stay one step ahead of his powerful enemies.",https://i.mydramalist.com/E50zmc.jpg?v=1
Nobody Knows,Drama,South Korea,16,2020,SBS,1 hr. 10 min.,"13,108",Lee Jung Heum,Kim Eun Hyang,8.5,"3,393","Kim Seo Hyung,Ryu Deok Hwan,Park Hoon,Ahn Ji Ho,Min Jin Woong,Kang Ye Won","Thriller,Mystery,Drama,Melodrama "," Strong Female Lead,Smart Female Lead,Unusual Friendship,Murder,Death,Strong Friendship,Guilt,Calm Female Lead,Serial Killer,Trauma  ","Detective Young Jin, from the regional investigation unit, has only one thing on her mind: to catch the 'Stigmata' serial killer that murdered her friend 19 years ago. She carries guilt and trauma over the event. She has no friends and lives alone. Her downstairs neighbor혪s son, Eun Ho, has built a relationship with her ever since she moved above their apartment. He does menial house chores for her. One day Eun Ho, seems to have fallen off the roof of their apartment building and left in a coma. Young Jin senses foul play and decides to take it upon herself to get to the bottom of it. With the help of Eun Ho혪s homeroom teacher, Sun Woo, the both begin to uncover that Eun Ho혪s injuries were no accident.",https://i.mydramalist.com/B3yVzc.jpg?v=1
Flower of Evil,Drama,South Korea,16,2020,tvN,1 hr. 10 min.,"66,980","Kim Chul Gyu,  Yoon Jong Ho",Yoo Jung Hee,9.1,"30,491","Lee Joon Gi,Moon Chae Won,Jang Hee Jin,Seo Hyun Woo,Nam Ki Ae,Son Jong Hak","Thriller,Romance,Crime,Melodrama "," Married Couple,Deception,Family Secret,Suspense,Smart Female Lead,Hidden Personality,Antisocial Personality Disorder,Serial Killer,Investigation,Psychopath  ","Although Baek Hee Sung is hiding a dark secret surrounding his true identity, he has established a happy family life and a successful career. He is a loving husband and doting father to his young daughter. But his perfect fa챌ade begins to crumble when his wife, Cha Ji Won, a homicide detective, begins investigating a string of serial murders from 15 years ago. Ji Won notices changes in Hee Sung혪s behavior and begins to wonder if he could possibly be hiding something from her.",https://i.mydramalist.com/WAEAp_4c.jpg?v=1
SKY Castle,Drama,South Korea,20,2019,jTBC,1 hr. 15 min.,"49,510",Jo Hyun Taek,Yoo Hyun Mi,8.9,"20,539","Yeom Jung Ah,Lee Tae Ran,Yoon Se Ah,Oh Na Ra,Kim Seo Hyung,Jung Joon Ho","Mystery,Psychological,Drama,Family "," Multiple Mains,Social Commentary,Sibling,Family Pressure,Medical,Social Satire,Female Centered Plot,Satire,Hospital,Mother-Daughter Relationship  ","Han Seo Jin, Noh Seung Hye, Jin Jin Hee, and Lee Myung Joo all live with their families in SKY Castle, a luxury private neighborhood hosting wealthy doctors and professors. All of the women wish for their children to enter prestigious universities and are actively supporting their education.

Following the acceptance of Myung Joo혪s son into Seoul National University as a medical student, an incident occurs, resulting in the family quickly moving out. To the surprise of Sky Castle혪s residents, Lee Soo Im and her inferior family move in. After interacting with the families there, Soo Im takes it upon herself to help the stressed children by challenging the other women of SKY Castle, meanwhile questioning her ways of supporting her step-son as well. She soon starts to uncover the truth of what happened to Myung Joo's family and their relation to the grade coordinator, Kim Joo Young.",https://i.mydramalist.com/4053wc.jpg?v=1
Project S: Skate Our Souls,Drama,Thailand,8,2017,GMM 25,45 min.,"3,917",Pat Boonnitipat,"Aekaphong Saransate,  Meen Tossaphon Riantong,  Teerapat Charoenpukdi",8.6,"1,437","James Teeradon Supapunpinyo,Pat Chayanit Chansangavej,Toni Rakkaen,Praew Narupornkamol Chaisang,Tom Phollawat Manuprasert,Jasper Dohrs","Psychological,Youth,Drama,Sports "," Skaters,Depression,Mental Health,Psychology,Self-harm,Father-Son Relationship,Suicide,Doctor Female Lead,Skateboarding,High School  ","Boo, a student whose grades aren't promising, knows well that he falls short of his father's standards. Quietly, Boo has been suffering from depression for a long time.  He doesn't eat or sleep well and has no friends, no one to turn to; he self-harms.  When he finds himself unexpectedly coaxed to try skateboarding, his dispair is momentarily lifted. On the day he first resolves to commit suicide, it's the sight of his expropriated board that pulls him back from the edge. He can't let his father know that he's hanging out with skateboarders, though, nor that he's been skipping school. Can Boo overcome depression without support?",https://i.mydramalist.com/ReywVc.jpg?v=1
Go Go Squid!,Drama,China,41,2019,Dragon TV iQiyi ZJTV,45 min.,"36,693",Lee Ching Jung,Mo Bao Fei Bao,8.5,"18,013","Yang Zi,Li Xian,Hu Yi Tian,Lee Hong Chi,Li Ze Feng,Chen Xi Jun","Comedy,Romance,Sports "," Love At First Sight,Female Chases Male First,Cold Man/Warm Woman,Dream,Smart Male Lead,Fluffy,Teamwork,Rivalry,Adapted From A Novel,Older Man/Younger Woman  ","Han Shang Yan, a former legend in the CTF cyber-security esports world, had long retired to set up his own esports club, K&K, to train a group of young teenage boys as professional esports athletes. One evening, after a K&K loss at a CTF competition, Han Shang Yan walks into an internet cafe to cool off. 

A computer science genius and part-time online singer, Tong Nian had been helping her cousin man his internet cafe one evening when Han Shang Yan walks in and she immediately falls for him at first sight. Usually brave, outgoing, and having tens of thousands of followers from singing covers online, she finds herself wanting to get close to him and makes several clumsy attempts to do so.  

A further series of coincidences and misunderstandings throw the both of them together and, as Han Shang Yan slowly starts to soften towards her, Tong Nian also finds herself getting involved in K&K's activities and the world of professional esports, even uncovering the past about Han Shang Yan and the reason for his sudden retirement from the esports world.",https://i.mydramalist.com/RAVooc.jpg?v=1
Kingdom: Season 2,Drama,South Korea,6,2020,Netflix,45 min.,"28,484","Kim Sung Hoon,  Park In Je",Kim Eun Hee,8.9,"17,417","Joo Ji Hoon,Bae Doo Na,Kim Sung Gyu,Ryu Seung Ryong,Kim  Sang Ho,Jun Suk Ho","Thriller,Historical,Horror,Supernatural "," Zombies,Corruption,Strong Male Lead,Gore,Strong Female Lead,Power Struggle,Smart Female Lead,Death,Palace Politics,Greed  ","Following the events in season one, waves of the undead threaten to reach the capital. In an attempt to save the people during the plague and regain his right to the throne, Crown Prince Lee Chang pursues Jo Hak Joo to overthrow him, while the Queen is in a race against time to produce an heir to the throne.",https://i.mydramalist.com/2qelVc.jpg?v=1
I Hear Your Voice,Drama,South Korea,18,2013,SBS,60 min.,"75,911",Jo Soo Won,Park Hye Ryun,8.5,"38,323","Lee Jong Suk,Lee Bo Young,Yoon Sang Hyun,Lee Da Hee,Jung Woong In,Yoon Joo Sang","Mystery,Law,Romance,Supernatural "," Special Power,Revenge,Smart Female Lead,Trauma,Strong Female Lead,Older Woman/Younger Man,Male Chases Female First,Mind Reading,Love Triangle,Cohabitation  ","Jang Hye Sung, a bold, sassy, thick-faced, comical, and a materialistic public defender who becomes a lawyer after overcoming poverty and painful memories from her childhood, comes to realization about society and justice after meeting Park Soo Ha, a 19-year-old boy who reads other people혪s thoughts and Cha Kwan Woo, an innocent lawyer who lives a disciplined life. Jang Hye Sung is actually Soo Ha's first love after she gave a decisive testimony on his father's murder case 10 years ago and Soo Ha promised to protect her from the killer's threats. Meanwhile, Cha Kwan Woo is Jang Hye Sung's fellow lawyer, a cheerful and an idealistic former cop even though his character is a bit slow, he is nice and pleasant with a firm idea of his principles and justice. Together they will team up to find the justice in the courtroom and solve the toughest cases with less than 1% chance of winning.",https://i.mydramalist.com/MK62Xc.jpg?v=1
Mother,Drama,Japan,11,2010,NTV,54 min.,"9,567","Mizuta Nobuo,  Naganuma Makoto",Sakamoto Yuji,8.6,"2,408","Matsuyuki Yasuko,Ashida Mana,Ono Machiko,Ayano Go,Yamamoto  Koji,Tanaka Minoru","Thriller,Drama,Family "," Kidnapping,Motherhood,Child Abuse,Female Centered Plot,Tearjerker,Mother-Daughter Relationship,Strong Female Lead,Amnesia,Suspense,Alzheimer's Disease  ","Elementary school teacher Suzuhara Nao decides to abduct Michiki Rena, one of her female students, after discovering that she is being abused by her mother. Fleeing Hokkaido to Tokyo, the two experience various events together along the way, with Nao serving as a substitute mother and Rena finally experiencing familial love for the first time.",https://i.mydramalist.com/v8gnD_4c.jpg?v=1
Mr. Sunshine,Drama,South Korea,24,2018,Netflix tvN,1 hr. 20 min.,"47,815",Lee Eung Bok,Kim Eun Sook,8.9,"17,069","Lee Byung Hun,Kim Tae Ri,Kim Min Jung,Yoo Yeon Seok,Byun Yo Han,Kim Gab Soo","Military,Historical,Romance,Melodrama "," Independent Female Lead,Strong Male Lead,Strong Female Lead,Smart Male Lead,Bromance,Soldier,Foreigner,Rebellion,Japanese Colonial Rule,Sismance  ","Mr. Sunshine centers on a young boy born into a house servant's family and travels to the United States during the 1871 Shinmiyangyo (U.S. expedition to Korea). He returns to his homeland later as a U.S. marine officer. He meets and falls in love with an aristocrat혪s daughter. At the same time, he discovers a plot by foreign forces to colonize Korea.",https://i.mydramalist.com/vKrdW_4c.jpg?v=1
The Red Sleeve,Drama,South Korea,17,2022,MBC Viki,1 hr. 20 min.,"19,620",Jung Ji In,Jung Hae Ri,8.9,"7,910","Lee Jun Ho,Lee Se Young,Kang Hoon,Lee Deok Hwa,Park Ji Young,Jang Hee Jin","Historical,Romance,Drama,Melodrama "," Biographical,Strong Male Lead,Male Chases Female First,King Male Lead,Concubine,Joseon Dynasty,Smart Female Lead,Power Struggle,Palace Drama,Death Of A Parent  ","In Korea during the second half of the 1700s, Yi San is an aloof and perfection-loving young prince. His father혪s killing haunts him, although it leaves him in the position to take the throne once his grandfather 혯 the cruel and ruthless current king responsible for Yi San혪s father혪s death 혯 dies. He has resolved to become a benevolent monarch who will reform the law when he eventually takes the throne, but the way his father was killed has scarred him emotionally.

At court, he meets a young woman named Sung Deok Im. Yi San falls in love with her and tries to convince her to become his official concubine. But Sung Deok Im is strong-willed and free-spirited. She is also intelligent enough to understand that becoming a royal consort to the future king is a prestigious role, but one that would restrict her freedom and likely bring her little in the way of joy. But Yi San혪s love for Sung Deok Im is true, and she starts to understand that forming a union with him could ultimately benefit his troubled realm.",https://i.mydramalist.com/2WpKk_4c.jpg?v=1
One and Only,Drama,China,24,2021,iQiyi Tencent Video,45 min.,"9,353",Guo Hu,Mo Bao Fei Bao,8.7,"3,811","Ren Jia Lun,Bai Lu,Wang Xing Yue,Li Yi Ru,Su Meng Yun,Wu Man Si","Historical,Romance,Wuxia "," Master-Student Relationship,Older Man/Younger Woman,Arranged Marriage,Difficult Childhood,Master/Disciple Relationship,Hardworking Male Lead,Lovers Separated,Tearjerker,Slight Romance,Forbidden Love  ","Zhou Sheng Chen was raised by his brother, the Emperor, until the age of thirteen, when he set out to defend the border and establish himself as a loyal and accomplished general. Cui Shi Yi, the well-read daughter of an esteemed family, has been betrothed to the Crown Prince since birth. However, political scheming and tragic events result in Cui Shi Yi falling mute, her former fiance becoming a child Emperor, and Zhou Sheng Chen returning to the capital amidst a cloud of political turmoil. 

Against the Cui family's protests, the Empress Dowager Regent changes the terms of Cui Shi Yi's betrothal. Her new fiance is the Emperor's sickly, young companion and the future Crown Prince, if he can survive long enough to come of age. Zhou Sheng Chen accepts Cui Shi Yi as his disciple to resolve lingering animosity between the royal family and the Cui family, and Cui Shi Yi suddenly finds herself leaving her sheltered life in the capital for Zhou Manor in the Western State.

Despite their differences as a mute and sheltered young noblewoman from the capital and a battle-hardened general, Zhou Sheng Chen and Cui Shi Yi soon form a strong bond as master and disciple. However, their relationship is impeded by their respective principles and responsibilities, while the ongoing power struggle in the palace constantly threatens to entangle them both once more.",https://i.mydramalist.com/BLrkR_4c.jpg?v=1
Love Destiny,Drama,Thailand,15,2018,Channel 3,1 hr. 50 min.,"5,372",Mai Phawat Panangkasiri,Salaya Sukanivatt,8.5,"2,608","Bella Ranee Campen,Pope Thanawat Wattanaputi,Punjan Kawin Imanothai,Prang Kannarun Wongkajornklai,Susie Susira Nanna,Louis Scott","Historical,Comedy,Romance,Supernatural "," Sassy Female Lead,Time Travel,Transmigration,Soulmates,Fated Love,Eccentric Female Lead,Reincarnation,Strong Female Lead,Nice Male Lead,Hidden Identity  ","This is a story where karma, merit, love destiny and a moon mantra combine to fling Kadesurang, a chubby archaeologist, into the body of another woman during the Ayutthaya era (300 years earlier).  

In the past, the cruel and selfish Karakade was betrothed to Date, a man who despises her wickedness and prefers a kinder woman. In a fit of jealousy, Karakade tries to kill her rival, but a servant dies instead. While Karakade is suspected, her murderous intentions can혪t be confirmed. So Date and his dad perform a sacred ritual to punish the killer. At this pivotal moment, Karakade dies and her spirit is replaced by Kadesurang's.

After Kadesurang wakes up in Karakade's body, she is insanely curious to experience the historical context she studied. Everyone around her is confused. She acts like a completely different person: someone who has forgotten basic manners and speaks strangely, someone who suddenly wants to make merit and cares about those around her. How will the household and Karakade혪s fianc챕e  respond to Karakade혪s newly emerged optimism and responsibility coupled with such odd mannerisms? And how will Kadesurang (now Karakade) navigate this patriarchal society swirling with political unrest?",https://i.mydramalist.com/w2bVgc.jpg?v=1
