Name,category,country,num_episodes,aired,orginal_network,duration,watchers,director,screenwriter,rating,num_raters,cast_names,genre_names,tag_names,synopsis,url
Nakark Kaew,Drama,Thailand,23,2019,GMM One,60 min.,"2,288",Jariwat Uppakharnchaiyaphat,Auangarun Smithsuwan,7.8,934,"Film Thanapat Kawila,Nat Aniporn Chalermburanawong,Captain Phutanate Hongmanop,Pock Piyathida Mittiraroch,Bright Norraphat Vilaiphan,Maprang Alrisa Kunkwaeng","Romance,Drama "," Plastic Surgery,Amnesia,Possessive Male Lead,Jealousy,Evil Parental Figure,Deception,Rich Male Lead,Infidelity,Father-Son Relationship,Doppelganger  ","Lookkaew is a hi-so woman who is cheating on her boyfriend, Ratt. Her boyfriend catches her and walks away. When Lookkaew goes after him, she gets into a car accident and hits a girl named Natda. 

Lookkaew's selfish mother doesn't want to lose Ratt as a son-in-law because her daughter is in a coma and may not wake up. To fool Ratt and his father into continuing with the marriage, she has the unconscious Natda undergo plastic surgery to look like her daughter, Lookkaew. Natda wakes up and is told she is Lookkaew, but she has no memories except for what she is told by her fake mother. She also has to deal with Ratt who is angry and hurt because the real Lookkaew cheated on him. 

Nothing in her life feels familiar to her and even Ratt notices her personality change. Will Ratt find out the truth? Will Natda get her memories back? And what happens if the real Lookkaew wakes up?",https://i.mydramalist.com/wwjDbc.jpg?v=1
The World of My 17,Drama,South Korea,12,2020,Naver TV Cast vLive,15 min.,"5,275",Choi Sun Mi,Yoon Shi So,7.8,"2,455","Arin,Hwang Bo Reum Byeol,Kim Do Ah,Han Chae Kyung,Ryeoun,Kwon Hyun Bin","Comedy,Life,Youth,Drama "," Sismance,Female Centered Plot,Best Friends,Childhood Friends,Misunderstanding,Slight Romance,Adapted From A Webtoon,High School,Student,Shy Female Lead  ","Tells the heartfelt story of friendship and growth in high school, where friends make up the entirety of one혪s world. The daily life of 17-year-old teenagers, those who are sometimes troubled by their friends, but also become indispensable friends.
Oh Na Ri is a high school freshman who feels confident after she successfully lost weight. However, her self-esteem is lowered by pretty girls she meets named Im Yoo Na, Im Sun Ji, and Seo Mi Rae. Although she dreams of normal school life, she is met with numerous trials.
Im Yoo Na is Na Ri혪s childhood friend and a classy girl. She is not lacking in any aspect, whether it혪s her appearance or her family background. However, she grows exhausted at fake people around her. She only considers Na Ri as her one true friend.
Im Sun Ji, who appears innocent in the appearance, but is in the front to stand up for Na Ri when she faces trouble.
Seo Mi Rae is a popular girl among the students. Although she is busy as an idol trainee, she becomes curious about Na Ri after realizing how much Yoo Na admires her.",https://i.mydramalist.com/qAJkBc.jpg?v=1
Chef: Mitsuboshi no Kyushoku,Drama,Japan,10,2016,Fuji TV,45 min.,729,"Tanaka Ryo,  Hirano Shin",,7.8,314,"Amami Yuki,Koizumi Kotaro,Kawaguchi Haruna,Tomochika,Endo Kenichi,Arakawa Yoshiyoshi",Food ,  ,"Hoshino Mitsuko is the talented three-star chef of famous French restaurant, La Cuisine de La reine, in Ginza, Tokyo. She has drawn attention not just from Japan but also the world for the new recipes she continuously conceives with her delicate palate and unrivalled creativity. Gourmands around the world visit the restaurant for her cuisine and there is a three-year wait for reservations. Mitsuko has absolute confidence that there is no one in this world who will not finish her food. But one day, trouble occurs between Mitsuko and the restaurant owner Shinoda Shogo and she is fired. She has difficulty finding a new restaurant due to Shinoda혪s interference and her over-inflated pride, and ends up creating school lunches for a popular variety programme by the hotshot producer Yaguchi Saki. It was believed to be something easy for Mitsuko, but she meets many obstacles and keeps failing. Moreover, this is aired on TV and made known to the world. Even so, Mitsuko does not give up and starts to create school lunches in order to hear children say her food is delicious and also regain her lost stars.",https://i.mydramalist.com/Pwxj5c.jpg?v=1
Theseus no Fune,Drama,Japan,10,2020,TBS,1 hr. 5 min.,"1,042","Ishii Yasuharu,  Matsuki Aya",,7.8,409,"Takeuchi Ryoma,Suzuki Ryohei,Eikura Nana,Ueno Juri,Kanjiya Shihori,Ando Masanobu","Thriller,Mystery,Drama,Supernatural "," Time Travel,Police Department,1980s,Miniseries,Father-Son Relationship,Death,Murder,Adapted From A Manga,Investigation,Family  ","Tamura Shin is a young man who has been pursuing the mystery of the murder that his father, a police officer, caused and changed the fate of their family. Ever since his father혪s arrest, Shin and his mother have been criticised by the public and had to live in hiding. One day, Shin is told by his beloved wife to try and give his father the benefit of the doubt, and he decides to meet his father who is in prison. However, when he heads to the old crime scene, he is shrouded by a sudden mist and ends up going back in time to the past. Shin finds himself in the year 1989 혯 right before the murder took place. The crime scene has become a snowy village. At this village, Shin sees the warm smiling faces of his own face. If he stops his father혪s case, he will not lose his family. This spurs him to challenge the taboo of changing the past.",https://i.mydramalist.com/2Kp4O_4c.jpg?v=1
Love with Flaws,Drama,South Korea,32,2020,MBC,30 min.,"25,472",Oh Jin Suk,Ahn Shin Yoo,7.8,"8,893","Oh Yeon Seo,Ahn Jae Hyun,Kim Seul Gi,Gu Won,Heo Jung Min,Cha In Ha","Comedy,Romance,Drama,Family "," Misunderstanding,Eccentric Male Lead,Trauma,Childhood Friends,First Love,Love Triangle,Bromance,Brothers,Hot-tempered Female Lead,Rich Male Lead  ","This romantic comedy follows a woman who has an aversion to flower boys and a man who has an obsession with appearance. 

The female lead, Joo Seo Yeon, is a hot-tempered physical education high school teacher who always wears sneakers, jeans and training uniforms.  The death of her parents helped instill a deep sense of compassion, a generous heart and an outspoken objection for anyone who drinks and drives. Living in a house with three irascible and very attractive brothers, she loathes flower boys. Her ideal type is someone who is 혫not handsome.혬 

In contrast, the male lead, Lee Kang Woo, is a handsome chaebol who focuses primarily on outer appearance. Initially, he craved attention, oozed arrogance and loved his looks--despite the strict diet and exercise regimen required to maintain it. While he appears flawless, he (like everyone else) was wounded while growing up. And those flaws--along with everyone else's--drive the story.  

Sparks fly when they meet and struggle to overcome their biases for and against people with flaws. Throughout the drama they learn to see beyond appearances to the tragic backstories and scars that motivate themselves and the people around them.",https://i.mydramalist.com/wl01kc.jpg?v=1
CHANGE,Drama,Japan,10,2008,Fuji TV,54 min.,"1,374","Hirano Shin,  Sawada Kensaku",Fukuda Yasushi,7.8,723,"Kimura Takuya,Fukatsu Eri,Abe Hiroshi,Kato Rosa,Horiuchi Keiko,Fuji Sumiko","Comedy,Law,Romance,Political "," Elections,Politics,Transformation,Political Campaign,Power Struggle,Miniseries,Character Development,Drama  ","Asakura Keita, 35, is an all-around nice guy who is a primary school teacher from rural Nagano Prefecture. His recently deceased father had been a Diet (House of Representatives) member from Kyushu. Keita has no political aspirations, but agrees, to run just to get everyone off his back permanently. 
Backing from some sharp political operatives sweeps him into the Diet, which leads to a shot at the Prime Minister혪s position. 
Once elected, he's bounced about and manipulated by the elders of the Seiyuto (Political Friends Party) as he tries to use his power to change things for the better.",https://i.mydramalist.com/rDBDD_4c.jpg?v=1
IN-SEOUL: Season 2,Drama,South Korea,12,2020,jTBC Naver TV Cast vLive,15 min.,"1,587",Im Ji Eun,"Jung Soo Yoon,  Kim Hee Won",7.8,675,"Min Do Hee,Jin Ye Ju,Ryeoun,Lee Ki Taek,Jung Hye Rin,Yu Bee","Romance,School,Youth,Drama "," Roommates,Bold Female Lead,Best Friends,Blind Date,Female Centered Plot,Slow Burn Romance,Male Chases Female First,Sismance,Height Difference,Slight Comedy  ",Kang Da Mi and Lee Ha Rim succeed in getting into an 'In Seoul' university and become roommates. The two were confident that they were best friends but started to feel some boredom for the first time in their relationship. The relationship between them will shows what true friendship is as they experience a stage of ennui while thinking they are each others' best friends.,https://i.mydramalist.com/4DxeJc.jpg?v=1
Sisyphus: The Myth,Drama,South Korea,16,2021,jTBC Netflix,1 hr. 10 min.,"23,294",Jin Hyeok,"Jeon Chan Ho,  Lee Je In",7.8,"9,347","Jo Seung Woo,Park Shin Hye,Kim Byung Chul,Sung Dong Il,Tae In Ho,Chae Jong Hyeop","Action,Thriller,Mystery,Sci-Fi "," Time Travel,Rich Male Lead,Engineer,Sassy Female Lead,Future,Pre-produced,Strong Female Lead,Investigation,Suspense,Secret  ","An unfathomable incident introduces a genius engineer to dangerous secrets of the world 혰 and to a woman from the future who's come looking for him.

Han Tae Sul, a co-founder of Quantum and Time, is a genius engineer with the highest level of coding skills and outstanding looks that outweighs his engineer fashion sense. Due to his innovative achievements, Quantum and Time is a world-class company, dubbed as ""The Miracle of South Korea's Engineering Industry."" In reality, Tae Sul has constantly caused his company's stocks to fluctuate after his brother's death ten years ago. One day, he witnesses something unbelievable. To reach the truth, he sets off on a dangerous journey.

Kang Seo Hae is a survivor of a future dystopian world. With the survival skills that she's learned from living amongst gangsters and warlords, she travels back to save Han Tae Sul.",https://i.mydramalist.com/Bym1q_4c.jpg?v=1
Priceless,Drama,Japan,10,2012,Fuji TV,54 min.,"3,317","Kanai Hiro,  Hirano Shin,  Suzuki  Masayuki","Furuya Kazunao,  Sakurai Tsuyoshi",7.8,"1,458","Kimura Takuya,Karina,Nakai Kiichi,Fujigaya Taisuke,Tanaka Kanau,Renbutsu Misako","Comedy,Life "," Business,Miniseries  ","Originally a mid-level manager with a promising future in a big corporation, the life of this elite employee changes dramatically one day. Having attracted the attention of his superiors for some reason, he is framed for a crime which he knows nothing of and forced out of the workplace. Even after that, he is assailed by a series of surprises and in one day, he loses his house, wealth and handphone until he is without a cent to his name. At his wits end, he comes to a park where he encounters two children. Learning from them how to survive even if he does not have money, he somehow weathers this crisis and discovers the truly important and priceless things in life.",https://i.mydramalist.com/PWLKyc.jpg?v=1
A Wife혪s Credentials,Drama,South Korea,16,2012,jTBC,1 hr. 5 min.,"1,309",Ahn Pan Seok,Jung Sung Joo,7.8,306,"Lee Sung Jae,Lee Tae Ran,Kim Hee Ae,Jang Hyun Sung,Kim Sung Kyung,Lee Jung Gil","Romance,Drama,Family,Melodrama "," Elite Tuition School,News Reporter,Secret Second Family,Sick Son,Academic Achievement,Unhappy Marriage,Dentist,Housewife,Infidelity,Mother-Son Relationship  ","In modern society, children혪s school grades have become a qualification outstanding wives ought to have. This drama depicts a housewife혪s struggle to help raise her child혪s grades within the cut-throat education system in South Korea while accepting herself as a human who can fall in love. Seo Rae is an accepting housewife with a child, married to Sang Jin, a rich and highly educated man. However, she is shocked to find out that her niece is accepted to an International junior high school, and decides to get Han Gyul, her son, admitted as well. As her son enrolls in prep-classes, his grades begin to improve. But when she takes him to a dentist named Tae Oh, she falls in love with him. Now she finds herself standing at a crossroad, with the possibility of either an affair that can ruin her life or a future with her true love.",https://i.mydramalist.com/96g3jc.jpg?v=1
